Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Gopjan (CT),969,5226,1202,142,3487,395,384,395,673,4,3,3,2,7,135,0,0,0,806,61,165,16,811,1286,3103,4847,149,223,200.17,211.95,119.26,4116,704,395,251,3583,34,4,115,136,1103,24150,4703,48,12261,11882,7,2268,4850,5353,4136,3373,2035,1260,651,224,10951,11664,1053,206,42,7340,2249,5922,5428,1545,829,687,150,109,29,32,92,13,34,154,61,23626
Andar Manik,897,1752,295,23,1268,166,330,59,153,8,6,4,8,0,23,0,0,0,126,40,58,4,551,436,1031,1719,15,18,387.76,302.31,57.07,1377,308,59,311,1183,68,3,25,24,138,8327,3079,109,4390,3936,1,860,1852,1843,1318,1063,684,407,221,79,3840,4102,288,23,4,2385,543,2645,2037,413,178,88,38,15,7,8,21,4,11,8,7,8246
Total,950,6978,1497,165,4755,561,714,454,826,12,9,7,10,7,158,0,0,0,932,101,223,20,1362,1722,4134,6566,164,241,587.93,514.26,176.33,5493,1012,454,562,4766,102,7,140,160,1241,32477,7782,157,16651,15818,8,3128,6702,7196,5454,4436,2719,1667,872,303,14791,15766,1341,229,46,9725,2792,8567,7465,1958,1007,775,188,124,36,40,113,17,45,162,68,31872
Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Andar Manik,897,1752,295,23,1268,166,330,59,153,8,6,4,8,0,23,0,0,0,126,40,58,4,551,436,1031,1719,15,18,387.76,302.31,57.07,1377,308,59,311,1183,68,3,25,24,138,8327,3079,109,4390,3936,1,860,1852,1843,1318,1063,684,407,221,79,3840,4102,288,23,4,2385,543,2645,2037,413,178,88,38,15,7,8,21,4,11,8,7,8246
Balarampur,963,284,30,0,227,27,43,7,21,0,0,0,0,0,0,0,0,0,120,15,18,2,0,147,186,282,1,1,59.50,52.50,8.00,238,39,7,14,195,17,0,0,0,58,1270,0,0,647,623,0,114,303,304,165,187,108,53,28,8,575,625,36,0,0,639,166,148,260,43,11,3,0,7,0,3,2,1,0,5,1,1251
Gopjan (CT),969,5226,1202,142,3487,395,384,395,673,4,3,3,2,7,135,0,0,0,806,61,165,16,811,1286,3103,4847,149,223,200.17,211.95,119.26,4116,704,395,251,3583,34,4,115,136,1103,24150,4703,48,12261,11882,7,2268,4850,5353,4136,3373,2035,1260,651,224,10951,11664,1053,206,42,7340,2249,5922,5428,1545,829,687,150,109,29,32,92,13,34,154,61,23626
Moktarpur,949,1263,189,46,863,165,365,96,110,11,6,3,1,0,46,0,0,0,344,34,24,19,127,468,690,1231,0,32,285.99,297.37,174.68,985,182,96,171,865,12,0,8,46,161,6071,640,0,3115,2956,0,655,1358,1455,861,767,457,304,159,55,2940,2868,191,15,11,2406,850,1479,980,209,97,45,5,54,10,10,65,12,5,71,26,5818
Total,950,8525,1716,211,5845,753,1122,557,957,23,15,10,11,7,204,0,0,0,1396,150,265,41,1489,2337,5010,8079,165,274,933.42,864.13,359.01,6716,1233,557,747,5826,131,7,148,206,1460,39818,8422,157,20413,19397,8,3897,8363,8955,6480,5390,3284,2024,1059,366,18306,19259,1568,244,57,12770,3808,10194,8705,2210,1115,823,193,185,46,53,180,30,50,238,95,38941
Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Rajdharpara,952,1337,147,38,997,155,238,14,85,0,2,3,1,0,38,0,0,0,332,36,57,1,418,536,809,1312,8,17,371.83,201.96,39.63,1155,168,14,214,895,1,0,43,38,146,5764,1188,571,2953,2810,1,638,1341,1193,958,671,466,329,127,41,2651,2810,223,31,15,2383,503,1229,1227,234,117,65,6,13,7,5,14,5,4,1,5,5710
Kariagachhi,1017,183,22,2,93,66,68,7,14,8,1,1,0,0,2,0,0,0,32,7,9,0,0,57,49,183,0,0,78.55,76.55,0.66,168,8,7,97,64,0,0,5,2,15,716,0,0,355,361,0,79,152,132,136,98,57,44,14,4,285,359,3,0,1,258,60,139,208,26,15,8,2,8,5,2,10,3,0,1,0,687
Purbba Narayanpur,889,1916,222,19,1375,300,569,16,155,16,9,3,7,0,19,0,0,0,357,77,77,3,116,595,1177,1905,2,9,128.88,613.87,59.48,1753,147,16,300,1465,9,0,7,19,116,8766,400,110,4640,4125,1,845,2096,1979,1293,1033,669,480,245,126,4243,4108,277,34,22,3014,1067,2246,1648,494,197,96,4,16,10,7,64,11,10,12,25,8611
Uday Nagar,903,557,48,24,427,58,102,0,30,0,1,0,0,0,24,0,0,0,194,24,15,10,1,151,394,555,0,2,0.17,181.26,0.82,528,29,0,37,476,0,0,1,24,19,2322,2,0,1220,1102,0,236,496,508,362,254,203,138,92,33,1080,1111,71,2,5,754,362,235,773,134,44,19,1,55,27,5,24,1,4,41,20,2145
Paschim Gopinathpur,914,201,14,0,180,7,13,4,5,1,1,1,2,0,0,0,0,0,16,3,2,0,70,76,179,138,0,63,30.18,6.32,4.00,195,2,4,4,193,0,0,3,0,1,953,2,345,498,455,0,99,265,169,186,80,62,48,25,19,215,177,6,5,7,375,222,122,208,18,6,1,1,1,0,3,1,1,0,1,0,946
Putijol,927,1107,123,12,811,161,277,38,55,10,4,4,1,0,12,0,0,0,384,59,58,26,13,498,657,1105,2,0,227.35,678.17,7.01,967,102,38,274,743,0,0,20,12,58,4358,32,16,2262,2096,0,441,949,908,685,584,366,235,133,57,1943,2183,154,24,10,1835,485,1205,500,177,94,62,0,95,9,15,38,3,10,3,0,4185
Kharsadanga,929,1051,223,0,631,197,575,41,140,22,8,9,9,0,0,0,0,0,84,30,33,13,314,261,339,989,1,61,415.78,321.29,2321.33,946,64,41,261,707,3,0,14,0,66,4587,982,520,2378,2208,1,421,991,921,803,616,385,297,103,50,2052,2278,170,29,6,1263,1007,967,1097,145,73,28,7,143,10,8,12,0,2,10,1,4401
Total,920,6352,799,95,4514,944,1842,120,484,57,26,21,20,0,95,0,0,0,1399,236,251,53,932,2174,3604,6187,13,152,1252.74,2079.42,2432.93,5712,520,120,1187,4543,13,0,93,95,421,27466,2606,1562,14306,13157,3,2759,6290,5810,4423,3336,2208,1571,739,330,12469,13026,904,125,66,9882,3706,6143,5661,1228,546,279,21,331,68,45,163,24,30,69,51,26685
